name	Blank	Samples
V0001	0	26
V0002	0	29
V0003	0	25
V0004	0	26
V0005	0	14
V0006	0	29
V0007	0	20
V0008	0	26
V0009	0	12
V0010	0	11
V0011	0	9
V0012	0	30
V0013	0	12
V0014	0	11
V0015	0	27
V0016	0	17
V0017	0	19
V0018	0	21
V0019	0	9
V0020	0	24
V0021	0	19
V0022	0	22
V0023	0	16
V0024	0	19
V0025	0	11
V0026	0	23
V0027	0	9
V0028	0	18
V0029	0	17
V0030	0	10
V0031	0	15
V0032	0	13
V0033	0	17
V0034	0	13
V0035	0	30
V0036	0	29
V0037	0	18
V0038	0	30
V0039	0	26
V0040	0	20
V0041	0	19
V0042	0	24
V0043	0	26
V0044	0	20
V0045	0	20
V0046	0	23
V0047	0	11
V0048	0	10
V0049	0	30
V0050	0	30
V0051	0	30
V0052	0	22
V0053	0	10
V0054	0	17
V0055	0	15
V0056	0	18
V0057	0	9
V0058	0	29
V0059	0	29
V0060	0	9
V0061	0	21
V0062	0	13
V0063	0	27
V0064	0	11
V0065	0	23
V0066	0	16
V0067	0	15
V0068	0	10
V0069	0	23
V0070	0	23
V0071	0	30
V0072	0	17
V0073	0	9
V0074	0	9
V0075	0	30
V0076	0	24
V0077	0	15
V0078	0	12
V0079	0	15
V0080	0	13
V0081	0	19
V0082	0	13
V0083	0	13
V0084	0	13
V0085	0	18
V0086	0	10
V0087	0	14
V0088	0	9
V0089	0	14
V0090	0	9
V0091	0	18
V0092	0	19
V0093	0	21
V0094	0	30
V0095	0	15
V0096	0	11
V0097	0	30
V0098	0	16
V0099	0	29
V0100	0	29
V0101	0	30
V0102	0	24
V0103	0	10
V0104	0	27
V0105	0	10
V0106	0	22
V0107	0	18
V0108	0	10
V0109	0	9
V0110	1	15
V0111	2	14
V0112	3	18
V0113	3	22
V0114	2	21
V0115	1	17
V0116	0	14
V0117	0	30
V0118	0	30
V0119	0	16
V0120	0	23
V0121	0	27
V0122	0	19
V0123	0	28
V0124	0	28
V0125	0	26
V0126	0	10
V0127	0	15
V0128	0	9
V0129	0	11
V0130	0	30
V0131	0	27
V0132	0	17
V0133	0	30
V0134	0	14
V0135	0	16
V0136	0	24
V0137	0	17
V0138	0	19
V0139	0	13
V0140	0	28
V0141	0	30
V0142	2	0
V0143	0	12
V0144	0	27
V0145	0	20
V0146	0	9
V0147	0	12
V0148	0	18
V0149	0	13
V0150	0	30
V0151	0	26
V0152	0	27
V0153	0	30
V0154	0	27
V0155	0	18
V0156	0	12
V0157	0	30
V0158	3	9
V0159	0	23
V0160	0	14
V0161	0	15
V0162	0	13
V0163	0	30
V0164	5	2
V0165	0	24
V0166	0	16
V0167	0	25
V0168	0	16
V0169	0	21
V0170	0	28
V0171	0	10
V0172	0	12
V0173	0	21
V0174	0	16
V0175	4	20
V0176	0	22
V0177	0	30
V0178	0	24
V0179	0	30
V0180	0	23
V0181	0	20
V0182	0	30
V0183	0	29
V0184	0	23
V0185	0	16
V0186	0	10
V0187	0	30
V0188	0	14
V0189	0	9
V0190	0	16
V0191	0	21
V0192	0	23
V0193	0	14
V0194	0	10
V0195	0	18
V0196	0	12
V0197	0	22
V0198	0	12
V0199	0	19
V0200	0	20
V0201	0	30
V0202	0	18
V0203	0	14
V0204	0	13
V0205	0	21
V0206	0	30
V0207	0	30
V0208	0	13
V0209	0	13
V0210	0	9
V0211	0	20
V0212	0	14
V0213	2	17
V0214	0	25
V0215	0	19
V0216	0	17
V0217	0	15
V0218	0	18
V0219	0	16
V0220	0	22
