dataMatrix	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35
M3	6.272541183	4.981440554	5.847245716	6.853436374	6.125551817	6.402291923	5.892282009	5.114926424	5.508876968	0	5.719592	6.095180409	6.209479074	6.434320866	6.339182275	6.588882058	6.500808295	4.881722554	6.240568614	6.368203469	5.878502131	6.949909566	6.490538867	5.199720329	7.116405048	6.377620587	6.477140497	5.884960254	6.148372077	0	5.590864265	6.598150611	5.923761629	6.317581656	5.969551277
M10	7.256448967	7.35417126	7.646752484	7.324047168	7.420243986	7.687947191	7.42997355	7.21599029	7.296777188	7.308816447	7.563313771	7.430572034	7.459345887	7.472572206	7.48417907	7.255960029	7.406474489	7.683053674	7.365954666	7.098942828	7.460986748	7.445026494	7.371740853	7.252781263	6.677150321	7.457244252	7.367185796	7.420067236	7.458339691	6.748949931	7.265856507	7.379715523	7.418464898	7.430436023	7.065323624
M11	0	5.213969315	6.203645643	0	0	6.430379945	5.606045726	5.070339689	5.766447457	5.32131645	0	0	0	6.671418222	6.160942946	0	6.506587473	6.181540995	6.311689071	5.845877539	6.406472391	6.277474362	6.644093045	5.767782391	5.774829364	6.518883985	5.651654525	5.720027708	5.811188768	0	5.217927137	6.116306293	5.24293964	6.119341936	0
M12	8.18087488	8.01876463	8.488219477	7.547747696	7.834422216	8.604343535	8.154325337	7.784830847	8.036910997	8.022607892	8.606966934	8.299222215	8.648179894	8.787135842	8.53246025	8.460100532	8.57187257	8.67094278	8.470703711	7.805849922	7.873125312	8.385863742	8.659588798	7.759563229	7.757023389	8.44334462	8.147869715	7.359355025	7.8584366	7.576426958	7.90009862	8.047039342	7.284261722	7.891592924	7.852658924
M13	8.729473494	8.340407155	8.338672452	8.772801816	8.773310651	8.711426476	8.108460753	7.896432433	8.387740451	8.271450281	8.968261432	8.900915226	9.036997107	8.884300323	8.707078337	8.822273528	8.493495045	8.609931024	8.777018264	8.235538037	8.272565459	8.247729541	8.435030082	8.751143793	8.095187712	8.675976614	8.193888108	8.947260906	8.976180754	7.746966733	8.311445557	8.496153655	8.83064661	8.742969953	8.019034828
M14	4.444018446	4.243796818	4.466058001	4.183681337	4.775688977	4.048836365	4.669187016	4.562458922	4.676330559	4.857191338	5.779563976	6.25323055	6.423111538	5.762354999	6.014901098	6.704779134	6.411801456	6.66064347	6.460524954	4.044669051	4.16956597	6.851045639	6.433028362	6.317959418	6.691837652	6.641176458	6.756214849	4.045064677	4.33451677	4.80200506	4.088571591	4.121654574	4.174881088	0	3.901718759
M15	5.809560604	6.026862732	5.917152504	5.776325689	5.911887149	6.007230252	5.930481335	5.503063847	5.795221438	5.695018602	5.896344059	5.990013926	5.858501364	5.483031158	5.292375071	5.844560074	5.642059699	5.707842859	5.704914447	5.203760427	5.971812197	5.822424722	5.296522807	5.789593659	5.529137541	5.666264457	5.426447395	5.45141152	5.284185015	5.792642084	5.507190698	4.887123205	5.325828024	5.157869631	5.241615756
M16	5.798736272	5.611383541	5.729405121	5.460220596	5.616321042	5.723644327	5.866694569	5.618680743	5.771604689	5.982077015	5.815770614	6.180864288	6.166760617	5.70555775	5.794979693	6.592912063	6.361314235	6.512591802	6.421256836	5.415589992	5.564998153	6.656684005	6.218469644	6.228536106	6.517220048	6.42554342	6.615655232	5.484084511	5.110120555	5.84620084	5.635544823	5.473647748	5.257667003	5.418293898	5.273280383
M17	5.693032203	5.659309329	5.575891483	5.599390052	5.492055579	5.655852886	5.877202754	5.739017554	5.743581947	5.905878292	6.026559674	5.86072715	5.635197698	5.800335747	5.833171707	5.853125632	5.816987147	5.876925838	5.726547834	4.679961058	5.535540667	5.725742915	5.702693416	5.615230742	5.619569479	5.672824956	5.976520228	4.446171364	4.709000274	5.374080812	5.344243241	5.274944069	4.529919661	5.367264451	5.016619042
M18	4.176745617	3.926705245	3.903021567	3.613695897	4.26417975	4.329877296	4.500570978	4.105146409	4.171893727	4.437068728	4.749571745	4.863548682	4.846835562	4.540946192	4.141808373	5.297337158	4.94004878	5.169919083	5.023951224	3.791842766	4.011853943	5.36679105	4.929806338	5.03891241	5.251119543	5.13006891	5.286924694	4.188743237	4.239306945	5.053194564	4.38377075	3.661287548	3.922531785	0	3.865645261
